vehicle_id,vehicle_type,fuel_type,age_years,annual_operating_cost_usd,annual_co2_emissions_mt,annual_utilization_miles,replacement_capex_ev_usd,annual_cost_post_ev_usd,ev_annual_co2_mt,salvage_value_usd,criticality_score,reliability_index,mission_critical_flag,replacement_priority_index,tco_ice_10yr_usd,tco_ev_10yr_usd
PT_066,Articulated-Bus,CNG,10.7,30523,16.55,35838,76986,10882,3.95,3347,0.68,0.55,0,44.45,259445,166136
PT_067,Standard-Bus,Diesel,2.8,63869,31.73,34489,57632,23437,6.19,5813,0.65,0.9,0,47.55,542886,251033
PT_068,Minibus,Gasoline,5.1,36292,5.0,53490,60145,13464,1.4,4215,0.64,0.84,0,36.55,308482,170374
PT_069,Articulated-Bus,Diesel,2.5,32585,14.11,55000,71217,15276,2.19,4985,0.13,0.84,0,39.95,276972,196078
PT_070,Standard-Bus,Diesel,14.7,44100,22.53,36834,58564,18183,5.5,9017,0.84,0.5,0,56.41,374850,204102
PT_071,Minibus,Gasoline,4.0,54093,17.02,31937,59988,23586,3.55,12251,0.6,0.88,0,36.05,459790,248218
PT_072,Articulated-Bus,Diesel,1.0,40445,15.9,34784,60841,14259,3.01,6782,0.54,0.95,0,29.25,343782,175260
PT_073,Standard-Bus,Gasoline,11.7,15000,25.43,38738,57734,8000,5.7,3100,0.65,0.43,0,50.87,127500,122634
PT_074,Articulated-Bus,Diesel,5.2,18569,19.6,27203,40784,8000,5.0,2903,0.66,0.79,0,28.96,157836,105881
PT_075,Minibus,Diesel,9.2,54548,23.52,46623,77960,21622,4.91,10201,0.33,0.58,0,58.6,463658,251546
PT_076,Standard-Bus,Gasoline,6.4,53884,26.19,55000,68261,22452,5.47,7874,0.86,0.79,0,57.12,458014,251229
PT_077,Standard-Bus,CNG,12.5,27965,19.61,46007,40637,11799,4.56,3397,0.29,0.5,0,53.28,237702,137531
PT_078,Standard-Bus,Diesel,12.1,51951,10.52,41656,62923,23077,2.29,11877,0.58,0.56,0,50.13,441583,247200
PT_079,Articulated-Bus,Diesel,17.9,15000,27.07,45039,43691,8000,5.97,2427,0.76,0.25,1,64.02,127500,109264
PT_080,Standard-Bus,Diesel,5.9,31748,5.0,50128,61566,12590,1.01,5179,0.51,0.79,0,35.47,269858,163402
PT_081,Standard-Bus,Diesel,3.5,79410,16.31,39811,36625,30960,3.04,16523,0.41,0.82,0,47.29,674985,283262
PT_082,Articulated-Bus,Gasoline,1.6,15000,19.87,43009,35000,8000,4.48,3233,0.51,0.87,0,31.45,127500,99767
PT_083,Standard-Bus,Diesel,6.2,76076,25.01,41197,72251,35495,5.17,9804,0.78,0.69,0,57.59,646646,364154
PT_084,Standard-Bus,Diesel,7.4,39201,28.02,28083,71364,16487,5.17,1960,0.33,0.66,0,44.78,333208,209543
PT_085,Articulated-Bus,Diesel,6.2,40726,26.39,50580,62848,14692,5.59,10729,0.51,0.67,0,54.28,346171,177001
PT_086,Standard-Bus,Diesel,9.0,57272,30.01,20471,55312,27963,5.31,6851,0.47,0.56,0,50.56,486812,286146
PT_087,Standard-Bus,Diesel,2.9,30952,21.15,14191,61806,14777,4.72,2608,0.55,0.84,0,23.74,263092,184802
PT_088,Standard-Bus,Diesel,4.1,47725,25.4,32095,91876,14448,6.59,12647,0.45,0.86,0,40.15,405662,202037
PT_089,Articulated-Bus,Diesel,3.7,23090,33.5,39498,48630,10405,7.31,2982,0.81,0.84,0,42.49,196265,134090
PT_090,Standard-Bus,Gasoline,4.4,45327,18.88,40454,98299,19284,4.39,7047,1.0,0.8,0,41.36,385279,255166
PT_091,Minibus,Gasoline,4.6,47391,19.5,26149,70100,18156,4.4,5796,0.74,0.74,0,36.71,402823,218630
PT_092,Articulated-Bus,Diesel,2.7,69310,21.81,33050,69381,31491,4.71,10589,0.96,0.92,0,41.62,589135,326465
PT_093,Standard-Bus,Gasoline,16.5,28766,16.18,46816,61668,13968,3.94,5698,0.51,0.37,0,57.93,244511,174698
PT_094,Standard-Bus,Gasoline,9.1,50473,15.26,26293,66563,21832,3.56,11630,0.69,0.7,0,39.35,429020,240505
PT_095,Articulated-Bus,Diesel,6.7,26183,10.96,22154,69095,11140,2.79,5139,0.76,0.79,0,24.27,222555,158646
PT_096,Standard-Bus,Diesel,10.2,61026,34.95,33764,67317,27204,7.99,11472,0.84,0.48,0,64.04,518721,287079
PT_097,Articulated-Bus,Gasoline,17.4,64069,27.79,55000,72988,27138,6.17,7763,0.7,0.33,0,80.1,544586,295898
PT_098,Standard-Bus,Gasoline,14.6,24588,5.0,35498,78682,9938,1.0,3342,0.53,0.43,0,41.44,208998,159813
PT_099,Articulated-Bus,Gasoline,15.3,24996,6.21,51550,82024,8285,1.04,4257,0.67,0.44,0,50.6,212466,148189
PT_100,Standard-Bus,Diesel,10.3,57852,40.84,38410,45722,26485,9.8,7127,0.33,0.57,0,67.06,491742,263717
PT_101,Minibus,Diesel,7.6,49222,12.07,9779,60899,18088,1.78,6831,0.3,0.62,0,29.59,418387,207816
PT_102,Standard-Bus,Gasoline,8.4,54440,29.93,36193,73989,29365,7.04,8157,0.53,0.66,0,54.77,462740,315434
PT_103,Articulated-Bus,Gasoline,11.3,22647,18.92,6371,43406,8816,4.02,4194,0.91,0.54,1,29.78,192499,114148
PT_104,Standard-Bus,Gasoline,10.3,52431,9.66,40212,61352,22187,1.96,8783,0.91,0.7,0,44.3,445663,241158
PT_105,Articulated-Bus,Diesel,5.3,53664,20.72,14457,68233,23697,4.49,9889,1.0,0.82,0,31.89,456144,259768
PT_106,Articulated-Bus,Gasoline,7.0,32688,18.41,54806,47382,12001,4.7,4155,0.43,0.75,0,48.07,277848,145235
PT_107,Standard-Bus,Diesel,4.7,15000,28.7,42465,69083,8000,6.4,1589,0.75,0.83,0,39.89,127500,135494
PT_108,Standard-Bus,Gasoline,9.1,45017,25.14,43121,61596,17902,7.68,5848,0.64,0.75,0,51.19,382644,207915
PT_109,Standard-Bus,Diesel,4.6,42436,15.7,55000,43640,17049,2.57,7857,0.61,0.78,0,46.54,360706,180699
PT_110,Articulated-Bus,Diesel,6.7,63968,16.84,39784,46740,30632,3.6,6784,0.68,0.8,0,46.42,543728,300328
PT_111,Articulated-Bus,Diesel,11.4,34038,21.21,44606,73327,16049,4.9,7096,0.81,0.59,0,52.19,289323,202647
PT_112,Minibus,Diesel,1.0,68371,21.14,53254,64429,27026,4.59,12768,0.73,0.99,0,48.11,581153,281382
PT_113,Standard-Bus,Gasoline,6.2,81726,20.62,30950,56261,29950,4.25,12241,0.82,0.82,0,48.16,694671,298595
PT_114,Standard-Bus,Diesel,10.2,44018,11.8,38321,44078,18730,2.45,6302,0.29,0.57,0,45.48,374153,196981
PT_115,Standard-Bus,Diesel,6.7,52041,17.9,52668,71889,17127,4.09,4728,0.58,0.74,1,51.8,442348,212740
PT_116,Standard-Bus,Diesel,13.1,70966,27.7,32633,65594,22145,5.73,4229,0.82,0.47,0,64.08,603211,249597
PT_117,Articulated-Bus,Diesel,5.3,65422,5.0,54423,73855,24783,1.13,10782,0.49,0.7,0,48.2,556087,273728
PT_118,Articulated-Bus,Diesel,8.2,18668,7.36,32642,63955,8498,1.49,2866,0.63,0.76,0,27.17,158678,133322
PT_119,Standard-Bus,CNG,15.2,29869,14.11,25235,70082,13285,2.84,3145,0.65,0.32,0,46.38,253886,179859
PT_120,Articulated-Bus,Diesel,6.0,29337,22.4,43210,61042,10887,4.56,4118,0.8,0.72,1,43.8,249364,149463
PT_121,Minibus,Diesel,10.9,68968,14.96,23473,71391,30082,3.05,8129,0.48,0.55,0,47.59,586228,318959
PT_122,Standard-Bus,Diesel,10.0,42405,5.0,45987,41883,13871,1.0,6574,0.83,0.59,0,44.08,360442,153212
PT_123,Articulated-Bus,CNG,10.9,45522,11.24,37190,35084,21532,2.88,5375,0.3,0.61,1,44.54,386937,212731
PT_124,Standard-Bus,Gasoline,8.8,46516,13.43,27031,70883,16454,3.57,11120,0.37,0.61,1,39.48,395386,199622
PT_125,Standard-Bus,Diesel,12.2,43066,38.56,45215,76719,18388,10.22,7668,0.38,0.57,0,66.6,366061,225349
PT_126,Standard-Bus,Diesel,9.9,47413,5.0,41795,70553,20376,1.17,7919,0.38,0.62,0,42.52,403010,235830
PT_127,Articulated-Bus,Diesel,7.5,41481,21.5,36858,51170,14828,6.04,2074,1.0,0.77,0,43.21,352588,175134
PT_128,Minibus,Diesel,10.1,38055,24.46,23140,58577,16635,5.35,7474,0.58,0.54,0,44.72,323467,192500
PT_129,Standard-Bus,Diesel,10.0,39444,23.78,35091,65866,17592,6.15,4334,0.71,0.61,0,48.9,335274,211064
PT_130,Minibus,Diesel,5.5,54288,18.13,24251,65174,23616,5.21,7028,0.7,0.75,0,37.18,461448,258882
PT_131,Standard-Bus,CNG,9.7,41537,13.71,55000,48155,15537,2.04,9679,1.0,0.66,0,51.8,353064,170540
PT_132,Standard-Bus,Gasoline,8.1,52763,17.57,55000,68357,25852,4.31,6528,0.56,0.63,0,56.65,448485,281571
PT_133,Standard-Bus,Gasoline,9.0,65903,5.0,5526,51516,27591,1.13,9267,0.7,0.64,0,28.1,560175,276772
PT_134,Articulated-Bus,CNG,12.8,54421,24.91,30229,51838,24011,6.29,13070,0.58,0.54,0,54.9,462578,242861
PT_135,Standard-Bus,Diesel,6.2,67914,35.27,25704,63128,32844,7.55,8329,0.53,0.71,0,53.5,577269,333973
PT_136,Standard-Bus,Gasoline,9.0,38428,28.58,43863,80879,21503,6.98,6829,0.89,0.7,0,53.05,326638,256825
PT_137,Standard-Bus,Diesel,6.4,56487,24.3,45079,46124,20654,5.47,9246,0.69,0.65,0,55.04,480139,212437
PT_138,Articulated-Bus,Diesel,14.5,30305,5.0,25017,69083,12241,1.01,3433,0.89,0.44,0,37.39,257592,169698
PT_139,Minibus,Gasoline,3.3,32267,15.26,55000,67711,13765,3.94,5532,0.56,0.89,0,39.98,274269,179181
PT_140,Standard-Bus,Diesel,12.8,30817,19.44,31863,49296,12323,4.56,2751,0.73,0.46,1,48.05,261944,151290
PT_141,Standard-Bus,Gasoline,14.7,54560,14.35,26494,53273,18529,2.98,7138,0.57,0.48,0,49.46,463760,203631
PT_142,Standard-Bus,Diesel,8.1,36823,12.48,24292,58778,16228,2.88,7816,0.55,0.64,0,33.72,312995,188900
PT_143,Articulated-Bus,Gasoline,6.2,48975,11.08,34954,58523,20515,2.77,6696,0.74,0.76,0,37.1,416287,226204
PT_144,Standard-Bus,Diesel,14.3,50470,18.37,39530,69448,21743,4.11,7940,0.68,0.4,0,58.98,428995,246323
PT_145,Standard-Bus,Gasoline,7.4,87127,9.34,30349,71690,36819,2.08,17332,0.54,0.56,0,49.49,740579,367319
PT_146,Minibus,Gasoline,7.3,46884,15.94,9819,41128,23360,3.08,10027,1.0,0.71,0,28.99,398514,229661
PT_147,Standard-Bus,Gasoline,11.6,35600,18.78,42506,39646,17244,3.76,5973,0.31,0.46,0,53.32,302600,180247
PT_148,Standard-Bus,Gasoline,7.0,32353,13.37,45734,69979,13615,3.15,4605,0.39,0.71,0,41.31,275000,181101
PT_149,Articulated-Bus,Gasoline,1.0,57998,33.83,40185,53401,20771,8.35,9591,0.71,1.0,0,46.38,492983,220363
PT_150,Minibus,Gasoline,7.9,44104,5.0,32310,47881,20564,1.33,3390,0.76,0.66,0,34.44,374884,219285
PT_151,Standard-Bus,Diesel,1.0,36899,8.29,36567,83535,12441,1.76,4756,0.19,0.95,0,24.54,313641,184527
PT_152,Standard-Bus,Diesel,9.3,32831,23.44,23154,53096,14669,5.6,2699,0.6,0.61,0,40.45,279063,175083
PT_153,Standard-Bus,Diesel,3.2,64821,17.78,45499,68625,23510,4.29,9984,0.46,0.8,0,47.44,550978,258476
PT_154,Standard-Bus,Gasoline,13.6,42283,19.61,32713,69527,19911,5.23,7578,1.0,0.45,0,52.45,359405,231192
PT_155,Standard-Bus,Diesel,6.5,58528,39.6,5000,63052,22992,8.46,2926,0.79,0.7,1,43.8,497488,255558
PT_156,Standard-Bus,CNG,14.1,54670,23.45,48207,70020,20329,5.66,15058,0.87,0.52,0,64.52,464695,227758
PT_157,Minibus,Diesel,3.9,57150,10.38,22799,43912,26813,2.83,14040,0.82,0.82,0,29.58,485775,257782
PT_158,Standard-Bus,Gasoline,6.5,21231,16.89,32300,83457,9401,4.19,3016,0.62,0.7,0,33.67,180463,160349
PT_159,Standard-Bus,Diesel,12.5,50946,10.82,28314,74475,21097,2.26,8338,0.64,0.52,0,44.64,433041,245461
PT_160,Articulated-Bus,Diesel,13.2,52490,23.98,46887,52327,21340,3.5,8010,0.52,0.47,0,64.13,446165,225707
PT_161,Articulated-Bus,Diesel,8.9,84951,18.26,28534,69207,40046,4.19,12142,0.63,0.55,0,54.85,722083,397456
PT_162,Minibus,Diesel,2.9,58898,18.85,16363,75744,22820,3.94,6956,1.0,0.88,0,29.83,500633,262758
PT_163,Standard-Bus,Diesel,14.3,50871,15.1,43585,59853,24193,3.81,5373,0.89,0.4,0,59.11,432403,260120
PT_164,Minibus,Diesel,5.9,67201,20.33,32009,66700,27300,4.36,17289,0.67,0.69,1,47.56,571208,281461
PT_165,Standard-Bus,CNG,20.0,82144,25.45,21990,77593,34278,5.86,4107,0.78,0.24,0,71.04,698224,364849
PT_166,Articulated-Bus,Diesel,3.8,44377,17.41,55000,67846,21869,4.17,3680,0.65,0.78,0,47.5,377204,250052
PT_167,Minibus,Diesel,1.0,85678,18.87,34508,77593,37692,4.16,10108,0.85,1.0,0,41.68,728263,387867
PT_168,Standard-Bus,Diesel,11.3,48280,15.27,25012,52329,22381,3.48,3410,0.54,0.52,0,44.1,410380,239157
PT_169,Standard-Bus,Diesel,9.0,56523,5.0,19002,63762,21450,1.19,6506,0.6,0.68,0,31.41,480445,239581
PT_170,Articulated-Bus,Diesel,9.1,77760,9.88,42586,68278,34106,2.77,17509,0.39,0.56,0,54.75,660960,340670
PT_171,Articulated-Bus,Diesel,9.4,39224,22.56,38210,39692,13922,3.95,5022,0.71,0.62,0,48.96,333404,153007
PT_172,Minibus,Gasoline,10.9,23670,13.5,37305,55669,10179,3.38,2595,0.6,0.65,0,39.26,201195,139595
PT_173,Standard-Bus,Diesel,4.8,79373,5.0,47815,53944,36797,1.0,12311,1.0,0.77,0,46.52,674670,354407
PT_174,Standard-Bus,Diesel,6.6,58685,14.3,32617,63272,24299,2.58,15960,0.87,0.74,0,41.25,498822,253853
PT_175,Articulated-Bus,CNG,10.0,40078,29.86,55000,54218,16225,5.51,9633,0.79,0.53,0,64.66,340663,182497
PT_176,Articulated-Bus,Diesel,12.7,63211,11.03,55000,67147,24259,2.45,13904,0.54,0.45,0,63.17,537293,259444
PT_177,Standard-Bus,Gasoline,11.0,51130,30.85,33573,36533,22349,6.71,6547,0.92,0.67,0,54.88,434605,219952
PT_178,Standard-Bus,Diesel,4.2,62837,29.2,46021,57505,27296,6.99,7620,0.61,0.92,0,52.07,534114,281901
PT_179,Standard-Bus,Diesel,7.4,40826,24.77,25987,73340,16801,4.17,4238,0.98,0.67,0,41.92,347021,211910
PT_180,Articulated-Bus,Diesel,9.7,44509,26.86,38735,56542,23381,4.49,3153,0.88,0.59,0,54.2,378326,252127
PT_181,Standard-Bus,Diesel,4.6,33203,5.0,18253,72178,13508,1.0,6638,0.27,0.84,0,17.74,282225,180358
PT_182,Articulated-Bus,Gasoline,8.3,63917,30.83,43838,56238,28785,6.16,5121,0.76,0.71,0,60.38,543294,295789
PT_183,Standard-Bus,Gasoline,12.0,38999,11.23,49285,38120,18479,2.55,4969,0.59,0.55,0,51.12,331491,190222
PT_184,Minibus,Gasoline,11.5,89141,27.29,40709,88496,35081,6.09,11288,0.55,0.54,0,69.78,757698,375396
PT_185,Articulated-Bus,Gasoline,9.1,69397,20.52,47487,68330,23167,4.26,7340,0.52,0.63,0,59.84,589874,257909
PT_186,Standard-Bus,Diesel,20.0,66234,6.63,27811,71681,28405,1.47,6860,0.41,0.24,0,58.21,562989,306263
PT_187,Articulated-Bus,Diesel,11.9,62544,30.13,39429,70215,28190,6.4,5382,0.6,0.51,0,64.88,531624,304448
PT_188,Standard-Bus,CNG,1.0,62862,10.15,48555,64860,28150,2.58,10115,0.84,1.0,0,37.33,534327,294020
PT_189,Standard-Bus,Gasoline,9.4,63799,26.57,22728,58213,29884,5.76,16462,0.94,0.64,0,49.69,542291,295765
PT_190,Standard-Bus,Diesel,16.1,27467,10.94,49955,70057,10915,2.63,5817,0.57,0.32,0,56.84,233469,157017
PT_191,Standard-Bus,Gasoline,14.9,70915,22.99,40153,64513,29978,7.03,10907,0.64,0.45,0,66.78,602777,308419
PT_192,Standard-Bus,Diesel,3.1,68122,16.03,16960,66115,27171,3.39,8475,0.95,0.91,0,30.26,579037,288593
PT_193,Minibus,Diesel,13.1,49152,21.53,55000,50383,17246,4.79,12386,0.69,0.45,0,66.2,417792,184588
PT_194,Standard-Bus,Diesel,13.2,71890,27.76,54193,83453,29842,6.45,10349,0.67,0.45,1,75.69,611065,326761
PT_195,Standard-Bus,Gasoline,12.3,26671,29.71,54995,69491,10718,5.42,3013,0.9,0.52,0,63.0,226703,157581
PT_196,Standard-Bus,Diesel,1.0,44912,14.24,9074,56541,20154,3.63,5436,0.65,1.0,0,15.36,381752,222414
PT_197,Standard-Bus,Diesel,11.4,42769,15.14,31219,60261,18981,3.67,3910,0.1,0.57,0,44.56,363536,217689
PT_198,Standard-Bus,Diesel,7.7,53036,23.26,27828,52338,20865,5.68,7585,0.71,0.69,0,44.88,450806,222105
PT_199,Articulated-Bus,Gasoline,4.4,30395,13.85,40672,64103,13110,2.55,6404,0.24,0.81,0,34.2,258357,169134
PT_200,Standard-Bus,Diesel,12.8,56039,16.57,22421,52652,24155,4.16,5921,0.75,0.46,0,48.22,476331,252048
