vehicle_id,vehicle_type,fuel_type,age_years,annual_operating_cost_usd,annual_co2_emissions_mt,annual_utilization_miles,replacement_capex_ev_usd,annual_cost_post_ev_usd,ev_annual_co2_mt,salvage_value_usd,criticality_score,reliability_index,mission_critical_flag,replacement_priority_index,tco_ice_10yr_usd,tco_ev_10yr_usd
CL_048,Heavy-Truck,Diesel,7.3,19082,18.25,26804,59616,8966,4.38,2334,0.95,0.76,0,44.62,162197,133493
CL_049,Van,Gasoline,0.8,51900,10.06,45377,59847,23722,2.37,11739,0.58,0.9,0,47.35,441150,249745
CL_050,Light-Truck,Diesel,0.8,27695,9.3,24347,56985,11487,2.22,3208,0.43,0.87,0,24.7,235407,151416
CL_051,Van,Diesel,2.3,19152,5.0,18203,69809,8527,1.0,1108,0.49,0.89,0,12.88,162792,141180
CL_052,Light-Truck,Diesel,6.8,26964,8.05,33116,63662,10277,1.92,5529,0.94,0.76,0,37.73,229194,145487
CL_053,Light-Truck,Diesel,8.3,50175,8.81,29349,80878,23173,1.69,7226,0.67,0.72,0,49.38,426487,270622
CL_054,Van,Gasoline,4.2,17957,12.29,32946,77240,8000,3.05,3570,0.55,0.79,0,35.56,152634,141670
CL_055,Van,Gasoline,11.4,24602,9.61,30734,68645,11063,1.97,2762,0.84,0.57,0,48.18,209117,159918
CL_056,Van,Diesel,5.7,26998,12.29,30193,36086,12058,2.81,2346,0.85,0.72,0,41.62,229483,136233
CL_057,Van,Diesel,6.3,19985,20.67,8899,44188,8800,3.39,4228,0.55,0.71,0,38.24,169872,114760
CL_058,Light-Truck,Gasoline,5.5,20788,7.26,21464,73835,8266,1.3,1655,0.46,0.81,0,24.36,176698,142441
CL_059,Heavy-Truck,Gasoline,6.7,16782,7.51,22687,56292,8000,1.9,1207,0.34,0.77,1,26.2,142647,123085
CL_060,Van,Gasoline,8.9,29465,5.0,24868,64818,9668,1.2,1582,0.29,0.59,0,37.49,250452,145414
CL_061,Light-Truck,Diesel,8.7,30741,10.64,23964,54434,14105,1.95,1537,0.6,0.68,0,41.96,261298,172789
CL_062,Light-Truck,Gasoline,2.8,26809,17.05,31715,68214,11516,4.41,2628,0.47,0.79,0,43.35,227876,163472
CL_063,Light-Truck,Diesel,12.0,15155,5.0,33407,73495,8000,1.0,757,1.0,0.51,0,42.09,128817,140738
CL_064,Light-Truck,Diesel,2.0,50040,6.37,17815,47484,21517,1.41,7416,0.66,0.86,0,28.31,425340,222962
CL_065,Light-Truck,Diesel,6.5,19051,10.93,34181,52237,9752,2.25,952,0.26,0.7,0,40.2,161933,134177
CL_066,Van,Gasoline,5.2,38336,16.23,33271,42035,14295,3.12,3652,0.93,0.73,0,52.58,325856,159890
CL_067,Light-Truck,Gasoline,2.2,22102,13.19,32191,64800,9956,3.36,5892,0.68,0.94,0,31.35,187867,143534
CL_068,Van,Gasoline,5.9,43019,12.82,15238,42016,16162,3.47,7195,0.79,0.79,0,38.66,365661,172198
CL_069,Van,Diesel,3.4,46469,9.24,31965,57607,19223,2.08,7093,0.79,0.83,0,41.16,394986,213909
CL_070,Light-Truck,Diesel,6.5,24468,13.83,28743,68235,11184,3.68,1687,0.71,0.76,1,41.38,207978,161612
CL_071,Van,Diesel,7.7,15000,17.29,36647,86697,8000,3.66,2065,0.75,0.71,1,49.24,127500,152632
CL_072,Heavy-Truck,Gasoline,11.8,43349,5.0,44059,66421,22713,1.12,6606,0.7,0.52,1,59.85,368466,252875
CL_073,Light-Truck,CNG,7.4,57509,15.44,42292,77034,23143,3.46,4010,0.43,0.81,0,65.0,488826,269739
CL_074,Light-Truck,Gasoline,3.9,39988,10.06,29013,65109,19366,1.86,6250,0.72,0.8,0,39.2,339898,223470
CL_075,Van,Diesel,4.7,36926,7.26,27983,65710,15039,1.71,7738,0.85,0.81,0,34.19,313871,185803
CL_076,Light-Truck,Gasoline,6.7,44837,5.0,33687,59468,17260,1.21,5944,0.61,0.71,1,43.15,381114,200234
CL_077,Light-Truck,Diesel,6.6,44180,5.0,17964,57400,14970,1.07,6191,0.76,0.72,0,33.37,375530,178454
CL_078,Van,Diesel,11.7,25052,21.74,14943,76092,10725,3.68,1252,0.73,0.54,0,56.39,212942,166002
CL_079,Van,CNG,11.5,27090,6.22,23747,66496,10671,1.44,2168,1.0,0.53,0,42.09,230265,155031
CL_080,Light-Truck,Gasoline,4.8,42333,5.0,38985,66035,19573,1.0,8588,0.6,0.76,0,41.54,359830,223817
CL_081,Van,Gasoline,4.1,33271,7.73,25019,54701,13094,1.51,3890,0.59,0.84,0,29.96,282803,162110
CL_082,Light-Truck,Gasoline,0.8,50799,5.86,41523,57859,20125,1.31,5258,0.63,1.0,0,36.12,431791,223663
CL_083,Light-Truck,Diesel,4.1,26547,11.51,5000,86809,11620,2.27,3062,0.63,0.88,0,19.25,225649,182517
CL_084,Van,Gasoline,2.5,44007,20.56,13715,61189,22270,4.68,6474,0.2,0.91,0,40.99,374059,244010
CL_085,Heavy-Truck,Diesel,4.9,39111,6.89,26886,77914,14297,1.47,3601,0.52,0.77,0,35.44,332443,195837
CL_086,Light-Truck,Diesel,7.7,33482,11.7,35993,55756,15766,2.0,5234,0.71,0.7,0,49.78,284597,184533
CL_087,Van,Diesel,6.9,49110,5.0,27373,71618,22772,1.13,4027,0.65,0.78,0,39.44,417435,261153
CL_088,Van,Gasoline,6.1,43160,20.58,27139,65477,17650,4.89,8144,0.49,0.82,0,55.08,366860,207358
CL_089,Van,Diesel,7.0,22940,11.93,26904,57155,10409,2.99,2228,0.52,0.74,0,38.32,194990,143403
CL_090,Van,Diesel,5.7,42682,5.0,12133,69782,17319,1.05,9219,0.58,0.75,0,27.46,362797,207774
CL_091,Light-Truck,Diesel,6.9,51499,16.58,38422,43478,27735,3.62,7699,0.49,0.71,0,64.15,437741,271526
CL_092,Heavy-Truck,Gasoline,0.8,33434,18.5,21855,68895,13854,3.24,3601,0.55,1.0,0,33.86,284189,183053
CL_093,Van,Gasoline,5.2,32016,11.75,37805,71442,13575,3.28,6261,0.54,0.83,0,43.59,272136,180568
CL_094,Light-Truck,CNG,5.8,26964,5.0,27365,65276,10885,1.33,2191,0.83,0.68,0,31.73,229194,155607
CL_095,Light-Truck,Diesel,4.9,34836,22.3,37613,77731,11681,4.88,4272,0.85,0.84,0,57.89,296106,172747
CL_096,Light-Truck,CNG,5.4,43234,12.72,31089,61182,17589,2.75,6484,0.84,0.82,0,46.32,367489,204204
CL_097,Van,Gasoline,8.9,25187,18.31,27039,60210,10870,2.42,3625,0.74,0.6,0,54.05,214089,148980
CL_098,Van,Diesel,3.9,18843,7.12,30036,66260,9328,1.79,942,0.51,0.81,0,26.54,160165,144606
CL_099,Van,Diesel,14.6,30491,8.11,14743,72412,13556,1.92,3170,0.84,0.38,0,48.76,259173,184468
CL_100,Van,Diesel,8.8,18443,11.42,28054,68838,8000,2.79,2921,0.59,0.61,1,42.29,156765,133917
CL_101,Van,Diesel,6.2,41278,17.94,43444,59280,17460,3.73,3467,0.65,0.68,0,64.58,350863,204223
CL_102,Light-Truck,Diesel,5.4,29879,11.63,39773,50057,13038,2.39,6373,0.92,0.8,0,44.78,253971,154507
CL_103,Van,Diesel,5.9,15000,5.0,19134,69961,8000,1.0,2621,0.67,0.72,0,20.73,127500,135340
CL_104,Van,Diesel,2.7,30816,12.4,32551,52525,13993,3.02,3830,0.7,0.89,0,36.33,261936,167635
CL_105,Van,Gasoline,5.8,32688,21.29,30231,52180,16385,5.48,4543,0.37,0.74,0,55.39,277848,186909
CL_106,Light-Truck,Diesel,7.3,40389,11.13,35354,54144,16230,2.82,9817,0.75,0.72,0,50.59,343306,182282
CL_107,Light-Truck,Gasoline,8.4,33255,11.54,28847,62692,15974,2.6,6544,0.45,0.61,0,48.83,282667,191927
CL_108,Light-Truck,Gasoline,8.4,57424,5.0,25898,52444,26634,1.05,9705,0.85,0.68,0,46.83,488104,269128
CL_109,Heavy-Truck,Diesel,5.2,28775,5.0,39975,48371,12858,1.0,2279,0.61,0.81,0,35.21,244587,155385
CL_110,Van,Diesel,0.8,34251,6.56,29947,54093,14577,1.31,7928,0.2,1.0,0,23.23,291133,170069
CL_111,Van,Gasoline,3.7,33765,8.58,39299,59800,14751,2.01,6841,0.58,0.95,0,35.78,287002,178342
CL_112,Van,CNG,12.3,31608,11.38,36769,67451,12931,2.41,4506,0.6,0.4,0,63.13,268668,172858
CL_113,Van,Diesel,9.6,36709,11.78,25079,62807,18789,3.17,4497,0.75,0.63,0,49.17,312026,218016
CL_114,Light-Truck,Gasoline,7.6,41494,21.11,26496,49034,15937,5.37,5834,0.78,0.66,0,61.18,352699,178664
CL_115,Van,Gasoline,3.3,51081,11.08,45368,64743,24352,2.24,4592,0.58,0.77,1,55.0,434188,267143
CL_116,Light-Truck,Diesel,6.2,16168,17.62,29723,65873,8043,3.23,2044,0.85,0.79,0,42.11,137428,132194
CL_117,Light-Truck,Diesel,1.4,28875,10.44,21172,56540,11660,2.13,5433,0.1,1.0,0,21.6,245437,150217
CL_118,Van,Gasoline,4.1,29626,20.12,17199,52445,14169,5.07,1766,0.51,0.82,0,40.72,251821,171115
CL_119,Van,Gasoline,5.3,46254,5.0,36767,52440,19759,1.02,6211,0.43,0.8,0,41.28,393159,214180
CL_120,Heavy-Truck,CNG,4.8,30720,6.81,29442,55618,12998,1.61,4782,0.4,0.8,0,32.19,261120,161319
